Age-Average	Age-StandardDeviation	Generation-Average	Generation-StandardDeviation	Duration	PlantAmount	AnimalAmount	MovementSpeed-Average	MovementSpeed-StandardDeviation	CarnivorityTendency-Average	CarnivorityTendency-StandardDeviation	Eyesight-Average	Eyesight-StandardDeviation	OffensiveCapability-Average	OffensiveCapability-StandardDeviation	DefensiveCapability-Average	DefensiveCapability-StandardDeviation	ThreatConsiderationLimit-Average	ThreatConsiderationLimit-StandardDeviation	PlantToxicityResistance-Average	PlantToxicityResistance-StandardDeviation	FoodDigestingCapability-Average	FoodDigestingCapability-StandardDeviation	AdultSize-Average	AdultSize-StandardDeviation	MutationIntensity-Average	MutationIntensity-StandardDeviation	ReproductionEnergy-Average	ReproductionEnergy-StandardDeviation	OffspringAmount-Average	OffspringAmount-StandardDeviation	BackupEnergy-Average	BackupEnergy-StandardDeviation	OptimalTemperature-Average	OptimalTemperature-StandardDeviation	TemperatureChangeResistance-Average	TemperatureChangeResistance-StandardDeviation	EnvironmentToxicityResistance-Average	EnvironmentToxicityResistance-StandardDeviation	EnvironvementAnimalAmount	EnvironvementPlantAmount	EnvironvementToxicity	EnvironvementTemperature	EnvironvementGroundNutrientContent	
5	2	2	0	70	537	17	19,98675404742209	0,013245952577911169	50	0	20	0	2	0	1,9904110578216665	0,009588942178333615	10,030202478533704	0	0	0	9,93783830629561	0	20	0	1	0	50	0	2	0	10	0	30	0	5	0	0,018613332681643474	0,018613332681643474	2	106	10	34,87399999999998	10	
15,666666666666666	16,73983937265296	3,8333333333333335	0,3726779962499649	140	858	56	20	0	50,02950112252435	0,06596651537699977	20	0	2,0022789192582846	0	2	0	9,989939710045377	0,02249549221189698	0,03364660125446864	0,07523608761682159	9,980959569979904	1,7763568394002505E-15	20	0	0,9836997952090609	0,013753111387843627	50	0	2,010781673197012	0,0034200708632616678	9,969334976581903	0,0685690768944899	29,460287328869246	0,14594750825764835	5	0	0	0	6	314	10	34,74799999999996	10	
26,166666666666668	27,98461879120187	5,25	1,6393596310755	210	1499	82	20,00696413148963	0,023097411141804875	50,08390163201693	0,16674580900489672	20,015910652495847	0,052769664498456666	2,001709189443713	0,0009868009854240298	2,0012250488322665	0,0066664620546027465	10,007550619633426	0,013078056833721043	0	0	9,964243647856039	0,024662032457135573	20,01788064871273	0,05930340278826767	0,9840421202638482	0,009651362978110534	49,995754929322224	0,06204823593676369	2,009233381538477	0,005330895316770263	10,010099004130682	0,033494607457723063	29,3215385790961	0,4957009813774648	5	0	0	0	12	617	10	34,62199999999995	10	
25,785714285714285	23,536229129422008	7,178571428571429	1,604760138475784	280	1739	115	20,01320444190001	0,031197771425668548	50,074744076518236	0,21315350885198567	19,992159021038653	0,029367503836516103	2,0037710234433947	0,004125215746961358	2,0125208382786823	0,03447619789457978	10,00897692657235	0,03263222261702324	0,03693318936664695	0,0792128663365111	9,95869258936726	0,03131674710587563	19,95874242756774	0,13333293170831997	0,9891530510338844	0,016724073013961515	49,93558083944759	0,0855366225636162	2,0059151350736917	0,013640517098020714	10,011919036013605	0,026216772915666386	29,325993846187696	0,5140525922687326	4,987750536553179	0,02157224262735464	0,014714888777850212	0,03155992043755355	28	690	10	34,49599999999993	10	
28,10810810810811	31,46407972016599	8,297297297297296	2,6999986472956055	350	1733	131	20,012988650477634	0,0412518387565973	50,023912579366694	0,2777670172442885	19,993400969233235	0,04409634198952617	2,003146270602209	0,01846507457335869	2,009241209633501	0,03953175356420069	10,00568546250892	0,030149013653275814	0,052501565493940784	0,09635864885265687	9,966365788894787	0,025783983796910985	19,977404655344383	0,11117229705535082	0,9948342921656121	0,01400836673956286	49,914394492653614	0,1927673228794405	2,004289362959643	0,01310520959202837	9,99398633046248	0,04011599945411836	29,490341124071897	0,5569798191255959	4,993317572512083	0,03635660589139321	0,014261920613728092	0,030114693685825613	37	866	10	34,36999999999991	10	
27,46153846153846	21,305887177077764	9,615384615384615	2,185211186360275	420	1790	109	20,02371968999378	0,0490162451696746	49,83871072511741	0,3591053247602674	20,019481626609767	0,04162695183945272	1,9923398323908887	0,02080519832835804	2,0026419077413626	0,015337289492544606	10,023038523222322	0,06434889230402381	0,022516896808217026	0,06797000129472912	9,976694722826371	0,05030272657675883	20,00160838858499	0,144032207670196	0,9864911904624498	0,025114213081849218	49,938344850265594	0,11652877053903765	2,0078101984666556	0,01182982799081392	9,983909856218833	0,040148286252339155	29,573155463708595	0,5286417115139755	4,989751244604412	0,051563860018121015	0,004307233887224854	0,016479345920881693	26	914	10	34,2439999999999	10	
27,53125	31,094597978386858	13,5	2,806243040080456	490	1857	118	19,9930755464769	0,058829957263689746	49,72846586227585	0,3719040548643029	20,02754579332182	0,0526362558689975	2,002512878947286	0,024565564849811428	2,0114031684337346	0,029611537423917488	9,992679546037799	0,061794019705908636	0,08450416127420282	0,11063985104395346	9,982563706162368	0,027998107872986764	20,00605247535336	0,13497264660484432	0,9896191782235708	0,01758985911933489	49,8851882257663	0,2786370403883113	2,001890083340716	0,013879472758131011	9,98698513421368	0,07603123215300776	29,585764088666593	0,4755369008213835	5,035421054445578	0,0889201323476401	0,013043246535451644	0,028984509507170776	32	972	10	34,11799999999988	10	
33,125	43,61819431154848	15,65625	2,244568095981942	560	1769	105	19,979567674556023	0,05974524596218506	49,802125196937105	0,3287191620288526	20,04246543399776	0,04718846455806693	2,001567156357192	0,03466920926904497	2,011620357174971	0,032177756581547895	10,008129744961396	0,04792072889950429	0,1740699538011944	0,11258269496571884	9,979355165242884	0,011271044356485547	20,01887332393727	0,2859210405985691	0,9876796319153285	0,02527357249225731	49,91016215477571	0,3337970640109849	2,000221567761593	0,010592616073137386	9,992710769836538	0,05495909520626897	29,438861181937618	0,4242381702620742	5,045383418203265	0,07869434139980216	0,010300422144495149	0,027252355393316784	32	936	10	33,99199999999986	10	
31,9	32,32785176902419	16,35	1,9045996954740907	630	1586	134	19,968514839538564	0,04448175578283541	49,73993644620988	0,28743699955882146	20,028671153466746	0,05419894885605399	1,972202203286957	0,03926029238329831	2,017973624218039	0,03685759996007576	9,976308818063037	0,0574848823702218	0,20920656451901493	0,08912997952408466	9,970808336495462	0,02485395610688185	19,931193218680768	0,2510138331008789	0,9805116627602611	0,016106283144842477	49,903568307232	0,2822448123981698	1,996147196611577	0,01444288527790162	10,04696180754442	0,09442054394632739	29,511244402913313	0,4335188623880062	5,033570347981278	0,06605551113382337	0,01778357315308161	0,032825112865457674	40	815	10	33,86599999999984	10	
26,431372549019606	32,99866598727347	18,313725490196077	2,445405424331567	700	1896	102	19,969598586780545	0,03481090998751897	49,85045497466189	0,2872430639525558	20,0354511682648	0,04780233429784654	1,9519187097611563	0,043016385502370004	2,033130574864461	0,037748173453225495	9,9853549034709	0,08166979359387175	0,24840568873232116	0,0773173291771197	9,970943323363786	0,033645777516159596	19,85929687539909	0,26188498978463537	0,984140259175351	0,010917106902280538	49,79695908514762	0,25381390666770975	2,001594858205249	0,015333019932095562	10,049586595798857	0,0886157313968845	29,287343809468105	0,42003267163610314	5,045620511531792	0,057392870294897556	0,018952707456562936	0,03763912960999363	51	797	10	33,739999999999824	10	
29,28846153846154	30,436779710928654	19,153846153846153	2,648545430874895	770	1512	136	19,985726323823844	0,04192003438740338	49,849611159990545	0,28439530332198293	20,020625542243973	0,06081057684904716	1,9610194966808643	0,05293539374359114	2,036797730722787	0,036741939346313854	9,961895076721937	0,093044188939914	0,24821094254368703	0,07254490435519632	9,966632185144483	0,043985396581691164	19,885929187710026	0,2591844874022422	0,9839296016776286	0,012065409770228772	49,77255242114758	0,3331500044703007	2,0015012960970764	0,017264504879456005	10,048340897181777	0,07769641688339331	29,28624883781365	0,4589209066964769	5,03812988402805	0,05904111172604035	0,028059124770282353	0,040057650986484505	52	724	10	33,61399999999981	10	
