Age-Average	Age-StandardDeviation	Generation-Average	Generation-StandardDeviation	Duration	PlantAmount	AnimalAmount	MovementSpeed-Average	MovementSpeed-StandardDeviation	CarnivorityTendency-Average	CarnivorityTendency-StandardDeviation	Eyesight-Average	Eyesight-StandardDeviation	OffensiveCapability-Average	OffensiveCapability-StandardDeviation	DefensiveCapability-Average	DefensiveCapability-StandardDeviation	ThreatConsiderationLimit-Average	ThreatConsiderationLimit-StandardDeviation	PlantToxicityResistance-Average	PlantToxicityResistance-StandardDeviation	FoodDigestingCapability-Average	FoodDigestingCapability-StandardDeviation	AdultSize-Average	AdultSize-StandardDeviation	MutationIntensity-Average	MutationIntensity-StandardDeviation	ReproductionEnergy-Average	ReproductionEnergy-StandardDeviation	OffspringAmount-Average	OffspringAmount-StandardDeviation	BackupEnergy-Average	BackupEnergy-StandardDeviation	OptimalTemperature-Average	OptimalTemperature-StandardDeviation	TemperatureChangeResistance-Average	TemperatureChangeResistance-StandardDeviation	EnvironmentToxicityResistance-Average	EnvironmentToxicityResistance-StandardDeviation	EnvironvementAnimalAmount	EnvironvementPlantAmount	EnvironvementToxicity	EnvironvementTemperature	EnvironvementGroundNutrientContent	
18	12,589678312014172	2	0,7071067811865476	70	537	17	20,00350057876485	0,009261660856581153	49,944390555344086	0,14712876110596854	20	0	2,001139459629142	0,0011394596291423031	2,0100170066068026	0,01984314339122292	10,02890385581595	0,055138916475560275	0	0	9,967169149850807	0,023503889629817643	19,978854676727835	0,055945266770211055	0,9887746084079959	0,01122539159200403	50	0	1,9971374947801968	0,0075734769382238935	9,990957951227184	0,02392301239538968	29,974545554062814	0,06734613371073536	4,989312676838056	0,028275999267486026	0,0016347670763940583	0,004325187135654807	8	312	10	30,013999999999967	9,993	
24,791666666666668	25,972708700137964	3,7916666666666665	1,1895085353016832	140	858	56	20,00408806510523	0,02475182559369484	49,85204939444417	0,22033896841663445	20,010096574320098	0,023755043610093163	1,9994125042441324	0,011181775032463606	2,0070499206354255	0,025106993492840464	10,003769378103955	0,0334946514373304	0	0	9,976859422354172	0,03020981350329689	20,00381829354251	0,10557439298053611	0,9843451552068306	0,010650171392960131	50,05235588803894	0,12247549196122155	1,9930012472471723	0,010316103622878202	10,003168800827117	0,03940606943169211	29,937673453209346	0,0921843800533996	4,978383463311884	0,05075298493315911	0,007497956668176618	0,017484405975542266	24	189	10	30,027999999999935	9,986	
21,666666666666668	21,86829262247563	6,190476190476191	1,096272803163937	210	1499	82	20,015637245006047	0,02638376327756656	49,81293214836596	0,3040577653194463	20,00195992670029	0,0035060234662143155	2,0055172157614867	0,014999517787519227	1,9961054645701775	0,03333732056308229	9,998168494890281	0,04442626915165985	0,0025178496579541126	0,01126016598461998	9,979262738202573	0,03390688705190482	19,998693119711653	0,10064681912711732	0,985800280024941	0,013248888317807208	50,10399150142964	0,18747494884173585	2,0000917173044686	0,012838211093531001	9,986468670091552	0,037928676771135574	29,864995847463554	0,298022704394521	5,004802279110409	0,05147376740100328	0,002891735281780368	0,010903089129439386	21	225	10	30,041999999999902	9,979	
19,85	19,57619728139252	9	0,8944271909999159	280	1739	115	20,01713712532127	0,026975972218443358	49,45966714213754	0,16195737592806486	19,970453382604685	0,0554049401276266	2,0053325949112573	0,004664566609196555	2,013409816089298	0,05830329246866036	10	0	0,06478279844524545	0,11933320677553887	9,97894658137185	0,036778611665710996	19,947589923651275	0,0734871893337519	0,9867013974079694	0,012323046269769902	50,11515124902142	0,19944781386012686	1,9944144519343574	0,008823715289910791	9,987838594233796	0,047242019350253954	29,992265358780628	0,11415316192513382	4,977617991638051	0,04175847466408025	0,024721013146788356	0,0377619713337187	20	182	10	30,05599999999987	9,972	
19,45	18,029073742153255	11,3	0,640312423743285	350	1733	131	20,009270637885177	0,020793731401819445	49,37200741776634	0,14796270609155807	20	0	2,0057735911414816	0,00761531239280477	2,0517213069970395	0,05346349391090353	10,00750476125961	0,047992949166683174	0,11304447949608036	0,10668474401426147	9,962458181477768	0,02640421792818826	20,018276149906207	0,1646185725810886	0,9800932372862412	0,002544020470248986	50,06936315005536	0,2289883144639199	1,986915564268163	0,008877750721666534	9,969568640253076	0,09038606996802179	30,04995544817923	0,17252585278724997	4,975919541491718	0,042959441191916435	0,04120168857798059	0,041201688577980594	20	184	10	30,069999999999837	9,965	
28,952380952380953	35,07200238757295	13,19047619047619	1,4349065879351772	420	1790	109	19,994093677761835	0,033723701226588715	49,491642228731315	0,26084180757454783	19,96227338700713	0,06924110907869949	2,008745978425541	0,022244466969344075	2,106915080737992	0,04215847010987804	9,946561257240976	0,0754869020817334	0,2185112317408516	8,326672684688674E-17	9,960812516377931	0,03362923878548899	20,13027749033167	0,24176994592504997	0,9852981001940064	0,010601671903059622	50,271047396741885	0,2756953648756435	1,9818118015401074	0,006110131737292835	10,01575413881234	0,01990840995016848	30,074215002393245	0,17212984358932099	4,9461456720384565	0,02263459762655275	0,08383752177776507	0,021153557865290207	21	197	10	30,083999999999804	9,958	
29,82608695652174	28,20368797024377	14,91304347826087	1,717253709402739	490	1857	118	19,985151024056716	0,040347406687215814	49,353134347763906	0,13626179030606222	19,941570260886873	0,07633573937987446	2,0104988045727374	0,006347994159782145	2,1653901814514644	0,07531297330947777	9,930799997350817	0,06783993321098995	0,2057167289571252	0,03878369583075287	9,94785681620651	0,03632244182426245	20,161212451342923	0,2713609914105519	0,9774990036453766	0,02885777088709711	50,01808314836006	0,261418351114438	1,980386142418402	0,004341637808788891	10,01140634073094	0,028878762829787453	30,16212753039722	0,14257018673804447	4,91481765393511	0,030142197284864107	0,07745588103832403	0,019793241564657654	23	122	10	30,09799999999977	9,951	
49,2	50,248980089152056	13,8	1,6613247725836149	560	1769	105	19,967707055140004	0,026363451744476282	49,481906281374044	0,07721598833343013	20,06324690428476	0,06324690428476208	2,012457838101526	0	2,0931793431505126	0,027273773812487308	9,971981817143266	0,043225297480101454	0,21851123174085152	0	9,962472536482979	0,021779312659597032	20,382092941488665	0,29055673062405	1,0066898667047774	0,012911291864806529	49,96014974265759	0,36094965444609817	1,9889956554188983	0,009653690730753221	10	0	29,93627536300778	0,16070506241041035	4,9198769132660285	0,05059640132401919	0,08240337715596117	1,3877787807814457E-17	10	157	10	30,11199999999974	9,943999999999999	
33,4	39,50324881154292	16,066666666666666	1,5260697523012796	630	1586	134	19,948597745216606	0,021478851559501556	49,56343740136354	0,14621351173633754	20,06153533091659	0,06143700520877981	2,0151403673204595	0,006868122543592341	2,0970618556989544	0,030564305034407428	9,983240818646996	0,09227829400378992	0,21851123174085157	5,551115123125783E-17	9,977776075716868	0,03867084747170763	20,3650482606223	0,28031192727102855	1,0078036642782466	0,013819785906348662	50,04905062184915	0,32314658620691555	1,9839927470103091	0,00737655878978975	10,012852805678229	0,050676155654523304	29,8346480541673	0,20585844264101483	4,8939878798245084	0,02924192676783509	0,0629616582674458	0,03266751252433451	15	165	10	30,125999999999706	9,937	
33,666666666666664	37,517403369044025	16,77777777777778	1,6178021976178931	700	1896	102	19,947071169790487	0,027113440995284843	49,53420284732297	0,04311834123250696	20,022598059192344	0,05600152593741738	2,00476852082146	0,02174867356571731	2,101714598931148	0,026159916425478158	9,964596471621702	0,04535906777868461	0,21851123174085152	0	9,97373357167666	0,02366614818425211	20,381003824378254	0,26695066731025496	1,00630751163334	0,015904425518405898	49,909698242886584	0,4102294253184353	1,988653912059465	0,010528332256362785	10,021302750367655	0,06139442326812557	29,95805605771564	0,11863538407586917	4,888951859158148	0,03474877123950942	0,06683669237376837	0,03296985525399622	9	196	10	30,139999999999674	9,93	
