Age-Average	Age-StandardDeviation	Generation-Average	Generation-StandardDeviation	Duration	PlantAmount	AnimalAmount	MovementSpeed-Average	MovementSpeed-StandardDeviation	CarnivorityTendency-Average	CarnivorityTendency-StandardDeviation	Eyesight-Average	Eyesight-StandardDeviation	OffensiveCapability-Average	OffensiveCapability-StandardDeviation	DefensiveCapability-Average	DefensiveCapability-StandardDeviation	ThreatConsiderationLimit-Average	ThreatConsiderationLimit-StandardDeviation	PlantToxicityResistance-Average	PlantToxicityResistance-StandardDeviation	FoodDigestingCapability-Average	FoodDigestingCapability-StandardDeviation	AdultSize-Average	AdultSize-StandardDeviation	MutationIntensity-Average	MutationIntensity-StandardDeviation	ReproductionEnergy-Average	ReproductionEnergy-StandardDeviation	OffspringAmount-Average	OffspringAmount-StandardDeviation	BackupEnergy-Average	BackupEnergy-StandardDeviation	OptimalTemperature-Average	OptimalTemperature-StandardDeviation	TemperatureChangeResistance-Average	TemperatureChangeResistance-StandardDeviation	EnvironmentToxicityResistance-Average	EnvironmentToxicityResistance-StandardDeviation	EnvironvementAnimalAmount	EnvironvementPlantAmount	EnvironvementToxicity	EnvironvementTemperature	EnvironvementGroundNutrientContent	
19,37037037037037	18,887872158547683	1,9259259259259258	0,7162622076227302	70	403	29	20,00609991602987	0,032563994222461666	50,005348522692856	0,07925449619118326	20	0	1,9847740133463523	0,023596923083409074	1,9676158376328796	0,040330989735633094	10,003681188135362	0,013512573270882218	0	0	10,000447333461159	0,0144428839615274	19,991639102770748	0,07815338823528337	1,0028399932918566	0,008057638660683071	49,97196264261005	0,07930162214792129	1,9990979088667926	0,008164836605736166	9,994400302197382	0,028552968365760732	29,999462748187582	0,012573999329486123	5,009182132957295	0,023629274866838443	0	0	27	177	10	30	10	
21,666666666666668	23,45397384003165	3,466666666666667	1,1175369742826804	140	824	53	20,041328207609595	0,041311374876416666	50,0068565704551	0,09261326631188314	19,99735987577154	0,014217504081566875	1,9891869797991528	0,020932758388950357	1,9698708866226875	0,04185161885281119	9,997001489740645	0,01614747192251741	0,0226419200527677	0,06804602739009051	10,032844008410429	0,025815441834683532	20,05226005526986	0,11885765225500083	1,0017053643800498	0,0022412878949006616	50,01485313082365	0,08852156159206914	2,001358567279865	0,004892447948819361	10,001491771021355	0,04516143009402875	30,01456227023313	0,0785751439430794	5,0099869731504025	0,02237296616659086	0,006424223071161763	0,02146874339472395	30	137	10	30	10	
19,333333333333332	21,9848432637882	5,333333333333333	0,6666666666666665	210	1382	88	20,004959359640598	0,02044796363361437	50,07892338979071	0,25967303804999176	20,010320923052774	0,0425542559004598	1,9724886242973858	0,031548425672297174	1,9811972077760878	0,042848598510329766	9,987522456304102	0,020119434668395567	0,025472025887147864	0,07213257170895579	10,064571303409098	0,043602228269171185	20,014965629943234	0,06170487300986303	1,0097050540330599	0,02250307720872528	50	0	1,9949174954852948	0,0142980411816127	10,00757902680208	0,018925987782867523	29,988725359404075	0,046486534067883674	4,9944046232620005	0,02185592792172431	0,061537650988325435	0,049611759962034	18	225	10	30	10	
41,73684210526316	49,81845156509273	5,526315789473684	1,3905099803813585	280	1447	134	20,016342967692527	0,03177355117554243	50,310831629362475	0,25247428780221576	19,993142418182323	0,028291383524743266	1,9940322514321123	0,017373895447915393	1,9501616194141604	0,034198845630300435	9,973933457708299	0,10941160921114396	0,0011710359495766178	0,004968284765753125	10,028166178911315	0,04188965194912246	20,01349711858708	0,05726342447640863	1,0005976712579043	0,010380293916589378	49,99220923326645	0,09535486324423949	1,9893065324206791	0,009949698636444461	9,998709960452805	0,012131994519016196	30,013671069841237	0,058001437144884045	4,986663278450764	0,025826450226600323	0,026682343123357273	0,04490485512843722	19	191	10	30	10	
20,9375	31,502914051719088	6,875	1,2686114456365274	350	1565	148	20,04756692955448	0,0371943977223017	50,160921888268035	0,2690543060835445	20,000248251226985	0,04954947841388655	1,9877745626568417	0,031915848876020225	1,9809514930103675	0,051845115792135806	9,924399508638903	0,08700932352697849	0,0033354694475817813	0,01291821762226789	10,045062724655756	0,06054014861283244	19,983310722148616	0,1954167295250794	1,0028461006410518	0,006368833215785041	49,93886237553733	0,15694906867175834	1,993873014155891	0,015191559756713482	10,03725023014692	0,07754253756913464	29,95613045749773	0,15241543708903096	4,996438468944485	0,013793750465008138	0,03873785129165643	0,050350429311180514	16	197	10	30	10	
73	0	8	0	420	1575	122	20	0	49,88310368563193	0	20	0	1,9852294742992285	0	2	0	10	0	0	0	10,151639605849812	0	19,831774272644786	0	1	0	50	0	2	0	10,198667894116914	0	30	0	5	0	0,11284110132271478	0	1	250	10	30	10	
20,916666666666668	20,51202222004343	11,083333333333334	0,8620067027323834	490	1689	119	20,01674586203436	0,029321245254597263	50,173341771047575	0,2006582790596072	20,001083962771787	0,003595097800727614	1,940693747631287	0,025722643434605886	1,9873256596118793	0,023220821022544393	10,054832987925444	0,08233975857141018	0,05828201114321593	0,06846469494685857	10,023618182977794	0,045628523272259976	19,880247779311116	0,08676986016234278	0,9796572477500843	0,011533821980717314	50,026123526401875	0,058413980846603215	2,0432021195409824	0,014007560453254176	10,139092688747912	0,07163135129849023	29,976341666834305	0,10011201858361309	4,99032408643917	0,02115714204390588	0,009403425110226233	0,031187632834826777	12	271	10	30	10	
25	29,823480682173905	12,4	1,131370849898476	560	1578	137	20,026963494125265	0,042731231534035616	50,147191120353526	0,1641884690354386	19,97164187002696	0,051310582327458006	1,9267979149079897	0,03155620225955512	1,9789759239371916	0,047480651803105796	10,029177012499112	0,10223797501997935	0,106836260821665	0,09074340554709354	10,021084574381394	0,030735784735299785	19,889360196110047	0,12614563785371075	0,9804167900159864	0,011365913369143436	50,047111069809255	0,12745717815995514	2,0462455299222078	0,016475390896940213	10,127099723684704	0,09689210734784366	30,111917884151115	0,1519494579713328	4,987297830265772	0,04514293530353496	0,010150617833497409	0,01822121671756104	25	148	10	30	10	
25,346153846153847	35,490998108612864	13	1,640825308284734	630	1725	153	20,04370650649042	0,05360758579896099	50,079682978719674	0,20603896771552388	20,00992704040366	0,06317577797499901	1,9114731647992582	0,036922795412260866	2,0064876055697303	0,05019743349917473	9,956093069797744	0,09206096797607788	0,15256839192731114	0,11760354371525743	10,031259157542856	0,034425926168435844	19,897978477804124	0,10296214928253397	0,9867125426345527	0,017659947925957372	50,066928697921185	0,09194466749532572	2,033952345023633	0,026190567311688517	10,076528393072747	0,09474039955832689	30,09314525213089	0,14546799624165818	4,969171441285486	0,03265631911375612	0,01737289727973173	0,02566697159640739	26	167	10	30	10	
26,64	36,896482217143685	14,24	1,7036431551237479	700	1609	132	20,09846828786346	0,0880709220552797	50,22673165394573	0,35815223433471177	20,021492274811987	0,05117754504263998	1,8785658078533531	0,0604805316894095	1,9791070202539176	0,05939345357495814	9,898637653656653	0,0578745063062936	0,24184845656272003	0,09019535053461963	10,054470817085244	0,04552298458769511	19,98728370347399	0,192780418404533	0,9938036647885123	0,010142216832849138	50,07861412726031	0,13418008280786872	2,028780220121661	0,013490241553697352	9,988721891955823	0,06105663005057376	29,982119047626355	0,060637259705289284	4,972397318700606	0,0459986489806082	0,047336856314603645	0,046204426848941556	25	169	10	30	10	
