Age-Average	Age-StandardDeviation	Generation-Average	Generation-StandardDeviation	Duration	PlantAmount	AnimalAmount	Toxicity-Average	Toxicity-StandardDeviation	ReproductionArea-Average	ReproductionArea-StandardDeviation	EnergyProductionInLowNutrientGrounds-Average	EnergyProductionInLowNutrientGrounds-StandardDeviation	AdultSize-Average	AdultSize-StandardDeviation	MutationIntensity-Average	MutationIntensity-StandardDeviation	ReproductionEnergy-Average	ReproductionEnergy-StandardDeviation	OffspringAmount-Average	OffspringAmount-StandardDeviation	BackupEnergy-Average	BackupEnergy-StandardDeviation	OptimalTemperature-Average	OptimalTemperature-StandardDeviation	TemperatureChangeResistance-Average	TemperatureChangeResistance-StandardDeviation	EnvironmentToxicityResistance-Average	EnvironmentToxicityResistance-StandardDeviation	EnvironvementAnimalAmount	EnvironvementPlantAmount	EnvironvementToxicity	EnvironvementTemperature	EnvironvementGroundNutrientContent	
6,675392670157068	4,611546143117664	61,26701570680628	2,3484228850174578	770	1755	139	0,0585138122859161	0,059602922809563176	39,649587666053705	0,5126756309530996	1,996102664149385	0,11441617912620579	20,221284836534064	0,5683668083033679	0,9682796225416137	0,04482102386928926	49,80395918403296	0,458100448837553	1,9941429324833693	0,030783977419619173	10,02029115351541	0,2551362954065971	29,69116329117321	0,5739190779010306	3,0230327832118635	0,1073825917849952	0,05246304904094572	0,0721985560020977	30	191	8	30,15399999999964	9,922999999999998	
7,032	5,607046994630965	66,152	2,9422603555769853	840	1716	135	0,07321469613123609	0,0628311353227929	39,611870646553164	0,7123521858031913	1,9697078359002615	0,11948416297414689	19,920712635169263	0,5895739475595035	0,971558313684885	0,04821983671121691	49,68439542656935	0,5885978494215018	1,987704682374381	0,03592245328958459	10,027818959508494	0,2672222236646833	29,912529368271084	0,5182443371535145	2,9821519399807617	0,11941885196869559	0,0657396798136637	0,07809179829924286	16	250	8	30,16799999999961	9,915999999999999	
6,728971962616822	4,026942193416792	71,55607476635514	2,171208267348938	910	1736	125	0,06963966147026607	0,055841109759624544	39,93545120654865	0,6677711292992925	1,9932927548767445	0,12699571513089034	20,138822928969756	0,7591370974299964	0,9652779831995616	0,04045521727359798	49,648490465980764	0,5482574470317644	1,9797060359344214	0,04030009544202597	9,904452408631684	0,31523384420916717	29,985248837349012	0,5547626431449292	2,9125382869638683	0,1465724005967416	0,056309456770715	0,07566791871367277	16	214	8	30,181999999999576	9,908999999999999	
6,315508021390374	4,061285212360597	76,9144385026738	1,9712248371298338	980	1670	141	0,08687752092331172	0,07293092213673974	40,01078636657542	0,5140979566314497	2,0224286794312882	0,1530363442699468	20,328600900711454	0,7657456008221728	0,9611935906717759	0,0384038631633252	49,6315551900165	0,5221215931811678	1,9708059532689766	0,03325725911241656	9,865937929953361	0,23543590332028239	30,010364479293038	0,5322496422540132	2,892530299442304	0,16331978240007441	0,06689073009659066	0,05750816728322243	21	187	8	30,195999999999543	9,901999999999997	
6,551020408163265	4,115977948066692	81,84183673469387	2,0996804163718488	1050	1757	124	0,08232069381310034	0,07736202563001922	39,97947511819846	0,4701686178206726	1,9902072847713186	0,17941977438976373	20,226211133556998	0,8238923672375288	0,9619364435167376	0,03794945375667601	49,71826234736382	0,6750304324395354	1,9817487077054465	0,033228304614859414	9,812411173273077	0,2216574467767363	29,772410661847125	0,6383013917483698	2,9612991690076287	0,18821633067422885	0,06598100551206118	0,06049808068252278	22	196	8	30,20999999999951	9,894999999999998	
6,804878048780488	4,817242973234452	87,2560975609756	2,1601206809656524	1120	1554	130	0,05972828468385538	0,07942638482449838	39,864680069705706	0,4680025316681032	2,093282898487613	0,16567149444063403	20,419233189842664	0,7773172056860465	0,9731699419578707	0,04370599716927017	49,3148135274621	0,6371975440024907	1,9705336284852242	0,035152816569822894	9,840031800014165	0,27415897968889535	29,94079676967399	0,5588535572573333	2,9778971363004163	0,1921634280733482	0,09161138798881781	0,07131094677646921	19	164	8	30,223999999999478	9,887999999999998	
6,3765432098765435	4,018499554297095	92,89506172839506	2,498414372938495	1190	1481	125	0,06502036666966589	0,07075108704117479	39,938180466330074	0,6515093480115017	2,1279634553633553	0,18783573165267148	20,451998211409794	0,9330511445963553	0,9699306296514771	0,04734603773741302	49,24982138188978	0,734979889247669	1,9665948135069293	0,04564825155252027	9,893270494347961	0,27234361536617147	30,01417680228571	0,5933381425704628	2,9630121973187658	0,17106783188517025	0,0964864146836929	0,07463281512188645	20	162	8	30,237999999999445	9,880999999999998	
6,525210084033613	4,3324788349193755	98,77731092436974	3,1987375917128573	1260	1659	135	0,06506626923023666	0,0664298311371764	39,930047562257094	0,6426963064054797	2,111341901372866	0,24747111301003835	20,619166132316778	0,653524952666017	0,9936888708397965	0,03935671050509669	49,3251836399596	0,834455455280114	1,9650513075712839	0,04703217412595426	9,78916294241863	0,22944226619790703	29,752187380402464	0,7045914453108703	3,0669493651592816	0,1736560438420751	0,12951386327396655	0,0757041172861017	14	238	8	30,251999999999413	9,873999999999997	
7,625899280575539	4,394688391888332	103,87769784172662	3,878478585594638	1330	1577	127	0,07256484053598913	0,07896815934047989	39,870076906330354	0,6979022551437966	2,212150312104316	0,24757158837512602	20,485645144155963	0,6864410901610997	1,0124464497558154	0,07721735621899217	49,017902808320244	0,6115713921539773	1,9607204251091714	0,049281942916727786	9,828313532060323	0,24991896815489603	29,990587788670577	0,6687997664057327	3,0200578869864367	0,20794069521880892	0,1366480953603535	0,08969307960612079	14	139	8	30,26599999999938	9,866999999999999	
6,872727272727273	4,268508555603022	109,59545454545454	4,220617928986147	1400	1480	149	0,07148511136387488	0,0761784529669562	39,98417456942611	0,6398334015954619	2,219571393724177	0,240995043861835	20,63042585950053	0,8176325443986626	1,038925696005429	0,08870035399204342	48,87819599599556	0,7192525679748626	1,943450835713293	0,04941766627208566	9,709018036130152	0,248567920569036	30,16569101807221	0,6556278393330492	3,0168763488034456	0,2331865465206904	0,12781556234409663	0,07769770989731745	21	220	8	30,279999999999347	9,86	
